company_id,name,country,founded_year,employee_count,revenue_million,net_income_million,total_assets_million,total_liabilities_million,equity_million
78,Singleton LLC,Kuwait,1960,1940,422.26,80.08,411.15,241.77,169.38
79,"Walters, Mcintyre and Stevenson",Ireland,1957,3592,465.08,45.46,575.76,318.0,257.76
80,Evans Group,Tonga,1984,618,36.14,70.14,743.56,573.14,170.42
81,Thomas Inc,Panama,1984,3282,105.25,51.58,769.52,526.06,243.46
82,Swanson-Snow,Mongolia,1982,1157,335.9,36.01,824.56,645.65,178.91
83,Ferguson-Thomas,Kyrgyz Republic,1954,4292,179.96,-30.72,746.77,628.7,118.07
84,Jones-Young,Norfolk Island,1990,3407,127.83,71.68,684.23,458.68,225.55
85,"Contreras, Ellison and Harris",Cape Verde,1977,2521,148.35,73.1,245.13,217.74,27.39
86,"Lewis, Burke and Bell",Seychelles,1956,1804,161.95,43.89,406.22,270.08,136.14
87,Moreno Group,Croatia,1961,669,424.49,73.06,482.94,329.36,153.58
88,King-Zimmerman,Palestinian Territory,1983,2821,69.17,47.72,92.06,58.26,33.8
89,Ayers-Martin,Korea,1982,1379,354.75,-19.0,533.09,189.03,344.06
90,Miranda and Sons,Guyana,1997,1996,276.86,-8.91,441.97,325.22,116.75
91,"Carlson, Waters and Pope",Zambia,1972,156,148.96,-17.81,804.09,505.34,298.75
92,Davis-Knapp,Congo,2011,3229,210.47,6.59,978.12,558.06,420.06
93,Palmer and Sons,Uruguay,1986,2921,128.85,-44.16,560.44,474.29,86.15
94,"Turner, Murray and Smith",San Marino,1993,1744,306.15,42.74,329.46,157.74,171.72
95,Coleman-Davidson,Pitcairn Islands,1984,1853,41.72,0.48,52.97,32.53,20.44
96,Henderson-Nguyen,United States of America,2014,498,3.59,48.36,925.4,664.98,260.42
97,Smith Group,Paraguay,1996,2986,314.32,7.81,919.92,715.59,204.33
98,Rodriguez Inc,Suriname,1952,1969,97.94,52.24,260.46,149.92,110.54
99,Foster and Sons,Bhutan,1950,2395,36.4,1.09,698.46,562.44,136.02
